"","Year","GrandPrix","Driver","Car","Time"
"355",1981,"Italy"," Carlos Reutemann ","Williams Ford","1:37.528"
"356",1981,"Canada"," John Watson ","McLaren Ford","1:49.475"
"357",1981,"Las Vegas "," Didier Pironi ","Ferrari","1:20.156"
"358",1982,"South Africa"," Alain Prost ","Renault","1:08.278"
"359",1982,"Brazil"," Alain Prost ","Renault","1:37.016"
"360",1982,"USA West "," Niki Lauda ","McLaren Ford","1:30.831"
"361",1982,"San Marino"," Didier Pironi ","Ferrari","1:35.036"
"362",1982,"Belgium"," John Watson ","McLaren Ford","1:20.214"
"363",1982,"Monaco"," Riccardo Patrese ","Brabham Ford","1:26.354"
"364",1982,"Detroit"," Alain Prost ","Renault","1:50.438"
"365",1982,"Canada"," Didier Pironi ","Ferrari","1:28.323"
"366",1982,"Netherlands"," Derek Warwick ","Toleman Hart","1:19.780"
"367",1982,"Great Britain"," Brian Henton ","Tyrrell Ford","1:13.028"
"368",1982,"France"," Riccardo Patrese ","Brabham Ford","1:40.075"
"369",1982,"Germany"," Nelson Piquet ","Brabham Ford","1:54.035"
"370",1982,"Austria"," Nelson Piquet ","Brabham Ford","1:33.699"
"371",1982,"Switzerland"," Alain Prost ","Renault","1:07.477"
"372",1982,"Italy"," Rene Arnoux ","Renault","1:33.619"
"373",1982,"Las Vegas "," Michele Alboreto ","Tyrrell Ford","1:19.639"
"374",1983,"Brazil"," Nelson Piquet ","Brabham BMW","1:39.829"
"375",1983,"USA West "," Niki Lauda ","McLaren TAG","1:28.330"
"376",1983,"France"," Alain Prost ","Renault","1:42.695"
"377",1983,"San Marino"," Riccardo Patrese ","Brabham BMW","1:34.437"
"378",1983,"Monaco"," Nelson Piquet ","Brabham BMW","1:27.283"
"379",1983,"Belgium"," Andrea de Cesaris ","Alfa Romeo","2:07.493"
"380",1983,"Detroit"," John Watson ","McLaren TAG","1:47.668"
"381",1983,"Canada"," Patrick Tambay ","Ferrari","1:30.851"
"382",1983,"Great Britain"," Alain Prost ","Renault","1:14.212"
"383",1983,"Germany"," Rene Arnoux ","Ferrari","1:53.938"
"384",1983,"Austria"," Alain Prost ","Renault","1:33.961"
"385",1983,"Netherlands"," Rene Arnoux ","Ferrari","1:19.863"
"386",1983,"Italy"," Nelson Piquet ","Brabham BMW","1:34.431"
"387",1983,"Europe"," Nigel Mansell ","Lotus Ford","1:14.342"
"388",1983,"South Africa"," Nelson Piquet ","Brabham BMW","1:09.948"
"389",1984,"Brazil"," Alain Prost ","McLaren TAG","1:36.499"
"390",1984,"South Africa"," Patrick Tambay ","Renault","1:08.877"
"391",1984,"Belgium"," Rene Arnoux ","Ferrari","1:19.294"
"392",1984,"San Marino"," Nelson Piquet ","Brabham BMW","1:33.275"
"393",1984,"France"," Alain Prost ","McLaren TAG","1:05.257"
"394",1984,"Monaco"," Ayrton Senna ","Toleman Hart","1:54.334"
"395",1984,"Canada"," Nelson Piquet ","Brabham BMW","1:28.763"
"396",1984,"Detroit "," Derek Warwick ","Renault","1:46.221"
"397",1984,"Dallas "," Niki Lauda ","McLaren TAG","1:45.353"
"398",1984,"Great Britain"," Niki Lauda ","McLaren TAG","1:13.191"
"399",1984,"Germany"," Alain Prost ","McLaren TAG","1:53.538"
"400",1984,"Austria"," Niki Lauda ","McLaren TAG","1:32.882"
"401",1984,"Netherlands"," Rene Arnoux ","Ferrari","1:19.465"
"402",1984,"Italy"," Niki Lauda ","McLaren TAG","1:31.912"
"403",1984,"Europe"," Nelson Piquet ","Brabham BMW","1:23.146"
"404",1984,"Portugal"," Niki Lauda ","McLaren TAG","1:22.996"
"405",1985,"Brazil"," Alain Prost ","McLaren TAG","1:36.702"
"406",1985,"Portugal"," Ayrton Senna ","Lotus Renault","1:44.121"
"407",1985,"San Marino"," Michele Alboreto ","Ferrari","1:30.961"
"408",1985,"Monaco"," Michele Alboreto ","Ferrari","1:22.637"
"409",1985,"Canada"," Ayrton Senna ","Lotus Renault","1:27.445"
"410",1985,"Detroit"," Ayrton Senna ","Lotus Renault","1:45.612"
"411",1985,"France"," Keke Rosberg ","Williams Honda","1:39.914"
"412",1985,"Great Britain"," Alain Prost ","McLaren TAG","1:09.886"
"413",1985,"Germany"," Niki Lauda ","McLaren TAG","1:22.806"
"414",1985,"Austria"," Alain Prost ","McLaren TAG","1:29.241"
"415",1985,"Netherlands"," Alain Prost ","McLaren TAG","1:16.538"
"416",1985,"Italy"," Nigel Mansell ","Williams Honda","1:28.283"
"417",1985,"Belgium"," Alain Prost ","McLaren TAG","2:01.730"
"418",1985,"Europe"," Jacques Laffite ","Ligier Renault","1:11.526"
"419",1985,"South Africa"," Keke Rosberg ","Williams Honda","1:08.149"
"420",1985,"Australia"," Keke Rosberg ","Williams Honda","1:23.758"
"421",1986,"Brazil"," Nelson Piquet ","Williams Honda","1:33.546"
"422",1986,"Spain"," Nigel Mansell ","Williams Honda","1:27.176"
"423",1986,"San Marino"," Nelson Piquet ","Williams Honda","1:28.667"
"424",1986,"Monaco"," Alain Prost ","McLaren TAG","1:26.607"
"425",1986,"Belgium"," Alain Prost ","McLaren TAG","1:59.282"
"426",1986,"Canada"," Nelson Piquet ","Williams Honda","1:25.443"
"427",1986,"Detroit"," Nelson Piquet ","Williams Honda","1:41.233"
"428",1986,"France"," Nigel Mansell ","Williams Honda","1:09.993"
"429",1986,"Great Britain"," Nigel Mansell ","Williams Honda","1:09.593"
"430",1986,"Germany"," Gerhard Berger ","Benetton BMW","1:46.604"
"431",1986,"Hungary"," Nelson Piquet ","Williams Honda","1:31.001"
"432",1986,"Austria"," Gerhard Berger ","Benetton BMW","1:29.444"
"433",1986,"Italy"," Teo Fabi ","Benetton BMW","1:28.099"
"434",1986,"Portugal"," Nigel Mansell ","Williams Honda","1:20.943"
"435",1986,"Mexico"," Nelson Piquet ","Williams Honda","1:19.360"
"436",1986,"Australia"," Nelson Piquet ","Williams Honda","1:20.787"
"437",1987,"Brazil"," Nelson Piquet ","Williams Honda","1:33.861"
"438",1987,"San Marino"," Teo Fabi ","Benetton Ford","1:29.246"
"439",1987,"Belgium"," Alain Prost ","McLaren TAG","1:57.153"
"440",1987,"Monaco"," Ayrton Senna ","Lotus Honda","1:27.685"
"441",1987,"Detroit"," Ayrton Senna ","Lotus Honda","1:40.464"
"442",1987,"France"," Nelson Piquet ","Williams Honda","1:09.548"
"443",1987,"Great Britain"," Nigel Mansell ","Williams Honda","1:09.832"
"444",1987,"Germany"," Nigel Mansell ","Williams Honda","1:45.716"
"445",1987,"Hungary"," Nelson Piquet ","Williams Honda","1:30.149"
"446",1987,"Austria"," Nigel Mansell ","Williams Honda","1:28.318"
"447",1987,"Italy"," Ayrton Senna ","Lotus Honda","1:26.796"
"448",1987,"Portugal"," Gerhard Berger ","Ferrari","1:19.282"
"449",1987,"Spain"," Gerhard Berger ","Ferrari","1:26.986"
"450",1987,"Mexico"," Nelson Piquet ","Williams Honda","1:19.132"
"451",1987,"Japan"," Alain Prost ","McLaren TAG","1:43.844"
"452",1987,"Australia"," Gerhard Berger ","Ferrari","1:20.416"
"453",1988,"Brazil"," Gerhard Berger ","Ferrari","1:32.943"
"454",1988,"San Marino"," Alain Prost ","McLaren Honda","1:29.685"
"455",1988,"Monaco"," Ayrton Senna ","McLaren Honda","1:26.321"
"456",1988,"Mexico"," Alain Prost ","McLaren Honda","1:18.608"
"457",1988,"Canada"," Ayrton Senna ","McLaren Honda","1:24.973"
"458",1988,"Detroit"," Alain Prost ","McLaren Honda","1:44.836"
"459",1988,"France"," Alain Prost ","McLaren Honda","1:11.737"
"460",1988,"Great Britain"," Nigel Mansell ","Williams Judd","1:23.308"
"461",1988,"Germany"," Alessandro Nannini ","Benetton Ford","2:03.032"
"462",1988,"Hungary"," Alain Prost ","McLaren Honda","1:30.639"
"463",1988,"Belgium"," Gerhard Berger ","Ferrari","2:00.772"
"464",1988,"Italy"," Michele Alboreto ","Ferrari","1:29.070"
"465",1988,"Portugal"," Gerhard Berger ","Ferrari","1:21.961"
"466",1988,"Spain"," Alain Prost ","McLaren Honda","1:27.845"
"467",1988,"Japan"," Ayrton Senna ","McLaren Honda","1:46.326"
"468",1988,"Australia"," Alain Prost ","McLaren Honda","1:21.216"
"469",1989,"Brazil"," Riccardo Patrese ","Williams Renault","1:32.507"
"470",1989,"San Marino"," Alain Prost ","McLaren Honda","1:26.795"
"471",1989,"Monaco"," Alain Prost ","McLaren Honda","1:25.501"
"472",1989,"Mexico"," Nigel Mansell ","Ferrari","1:20.420"
"473",1989,"United States "," Ayrton Senna ","McLaren Honda","1:33.969"
"474",1989,"Canada"," Jonathan  Palmer ","Tyrrell Ford","1:31.925"
"475",1989,"France"," Mauricio Gugelmin ","March Judd","1:12.090"
"476",1989,"Great Britain"," Nigel Mansell ","Ferrari","1:12.017"
"477",1989,"Germany"," Ayrton Senna ","McLaren Honda","1:45.884"
"478",1989,"Hungary"," Nigel Mansell ","Ferrari","1:22.637"
"479",1989,"Belgium"," Alain Prost ","McLaren Honda","2:11.571"
"480",1989,"Italy"," Alain Prost ","McLaren Honda","1:28.107"
"481",1989,"Portugal"," Gerhard Berger ","Ferrari","1:18.986"
"482",1989,"Spain"," Ayrton Senna ","McLaren Honda","1:25.779"
"483",1989,"Japan"," Alain Prost ","McLaren Honda","1:43.506"
"484",1989,"Australia"," Satoru Nakajima ","Lotus Judd","1:38.480"
"485",1990,"United States  "," Gerhard Berger ","McLaren Honda","1:31.050"
"486",1990,"Brazil"," Gerhard Berger ","McLaren Honda","1:19.899"
"487",1990,"San Marino"," Alessandro Nannini ","Benetton Ford","1:27.156"
"488",1990,"Monaco"," Ayrton Senna ","McLaren Honda","1:24.468"
"489",1990,"Canada"," Gerhard Berger ","McLaren Honda","1:22.077"
"490",1990,"Mexico"," Alain Prost ","Ferrari","1:17.958"
"491",1990,"France"," Nigel Mansell ","Ferrari","1:08.012"
"492",1990,"Great Britain"," Nigel Mansell ","Ferrari","1:11.291"
"493",1990,"Germany"," Thierry Boutsen ","Williams Renault","1:45.602"
"494",1990,"Hungary"," Riccardo Patrese ","Williams Renault","1:22.058"
"495",1990,"Belgium"," Alain Prost ","Ferrari","1:55.087"
"496",1990,"Italy"," Ayrton Senna ","McLaren Honda","1:26.254"
"497",1990,"Portugal"," Riccardo Patrese ","Williams Renault","1:18.306"
"498",1990,"Spain"," Riccardo Patrese ","Williams Renault","1:24.513"
"499",1990,"Japan"," Riccardo Patrese ","Williams Renault","1:44.233"
"500",1990,"Australia"," Nigel Mansell ","Ferrari","1:18.203"
"501",1991,"United States "," Jean Alesi ","Ferrari","1:26.758"
"502",1991,"Brazil"," Nigel Mansell ","Williams Renault","1:20.436"
"503",1991,"San Marino"," Gerhard Berger ","McLaren Honda","1:26.531"
"504",1991,"Monaco"," Alain Prost ","Ferrari","1:24.368"
"505",1991,"Canada"," Nigel Mansell ","Williams Renault","1:22.385"
"506",1991,"Mexico"," Nigel Mansell ","Williams Renault","1:16.788"
"507",1991,"France"," Nigel Mansell ","Williams Renault","1:19.168"
"508",1991,"Great Britain"," Nigel Mansell ","Williams Renault","1:26.379"
"509",1991,"Germany"," Riccardo Patrese ","Williams Renault","1:43.569"
"510",1991,"Hungary"," Bertrand Gachot ","Jordan Ford","1:21.547"
"511",1991,"Belgium"," Roberto Moreno ","Benetton Ford","1:55.161"
"512",1991,"Italy"," Ayrton Senna ","McLaren Honda","1:26.061"
"513",1991,"Portugal"," Nigel Mansell ","Williams Renault","1:18.179"
"514",1991,"Spain"," Riccardo Patrese ","Williams Renault","1:22.837"
"515",1991,"Japan"," Ayrton Senna ","McLaren Honda","1:41.532"
"516",1991,"Australia"," Gerhard Berger ","McLaren Honda","1:41.141"
"517",1992,"South Africa"," Nigel Mansell ","Williams Renault","1:17.578"
"518",1992,"Mexico"," Gerhard Berger ","McLaren Honda","1:17.711"
"519",1992,"Brazil"," Riccardo Patrese ","Williams Renault","1:19.490"
"520",1992,"Spain"," Nigel Mansell ","Williams Renault","1:42.503"
"521",1992,"San Marino"," Riccardo Patrese ","Williams Renault","1:26.100"
"522",1992,"Monaco"," Nigel Mansell ","Williams Renault","1:21.598"
"523",1992,"Canada"," Gerhard Berger ","McLaren Honda","1:22.325"
"524",1992,"France"," Nigel Mansell ","Williams Renault","1:17.070"
"525",1992,"Great Britain"," Nigel Mansell ","Williams Renault","1:22.539"
"526",1992,"Germany"," Riccardo Patrese ","Williams Renault","1:41.591"
"527",1992,"Hungary"," Nigel Mansell ","Williams Renault","1:18.308"
"528",1992,"Belgium"," Michael Schumacher ","Benetton Ford","1:53.791"
"529",1992,"Italy"," Nigel Mansell ","Williams Renault","1:26.119"
"530",1992,"Portugal"," Ayrton Senna ","McLaren Honda","1:16.272"
"531",1992,"Japan"," Nigel Mansell ","Williams Renault","1:40.646"
"532",1992,"Australia"," Michael Schumacher ","Benetton Ford","1:16.078"
"533",1993,"South Africa"," Alain Prost ","Williams Renault","1:19.492"
"534",1993,"Brazil"," Michael Schumacher ","Benetton Ford","1:20.024"
"535",1993,"Europe"," Ayrton Senna ","McLaren Ford","1:18.029"
"536",1993,"San Marino"," Alain Prost ","Williams Renault","1:26.128"
"537",1993,"Spain"," Michael Schumacher ","Benetton Ford","1:20.989"
"538",1993,"Monaco"," Alain Prost ","Williams Renault","1:23.604"
"539",1993,"Canada"," Michael Schumacher ","Benetton Ford","1:21.500"
"540",1993,"France"," Michael Schumacher ","Benetton Ford","1:19.256"
"541",1993,"Great Britain"," Damon Hill ","Williams Renault","1:22.515"
"542",1993,"Germany"," Michael Schumacher ","Benetton Ford","1:41.859"
"543",1993,"Hungary"," Alain Prost ","Williams Renault","1:19.633"
"544",1993,"Belgium"," Alain Prost ","Williams Renault","1:51.095"
"545",1993,"Italy"," Damon Hill ","Williams Renault","1:23.575"
"546",1993,"Portugal"," Damon Hill ","Williams Renault","1:14.859"
"547",1993,"Japan"," Alain Prost ","Williams Renault","1:41.176"
"548",1993,"Australia"," Damon Hill ","Williams Renault","1:15.381"
"549",1994,"Brazil"," Michael Schumacher ","Benetton Ford","1:18.455"
"550",1994,"Pacific"," Michael Schumacher ","Benetton Ford","1:14.023"
"551",1994,"San Marino"," Damon Hill ","Williams Renault","1:24.335"
"552",1994,"Monaco"," Michael Schumacher ","Benetton Ford","1:21.076"
"553",1994,"Spain"," Michael Schumacher ","Benetton Ford","1:25.155"
"554",1994,"Canada"," Michael Schumacher ","Benetton Ford","1:28.927"
"555",1994,"France"," Damon Hill ","Williams Renault","1:19.678"
"556",1994,"Great Britain"," Damon Hill ","Williams Renault","1:27.100"
"557",1994,"Germany"," David Coulthard ","Williams Renault","1:46.211"
"558",1994,"Hungary"," Michael Schumacher ","Benetton Ford","1:20.881"
"559",1994,"Belgium"," Damon Hill ","Williams Renault","1:57.117"
"560",1994,"Italy"," Damon Hill ","Williams Renault","1:25.930"
"561",1994,"Portugal"," David Coulthard ","Williams Renault","1:22.446"
"562",1994,"Europe"," Michael Schumacher ","Benetton Ford","1:25.040"
"563",1994,"Japan"," Damon Hill ","Williams Renault","1:56.597"
"564",1994,"Australia"," Michael Schumacher ","Benetton Ford","1:17.140"
"565",1995,"Brazil"," Michael Schumacher ","Benetton Renault","1:20.921"
"566",1995,"Argentina"," Michael Schumacher ","Benetton Renault","1:30.522"
"567",1995,"San Marino"," Gerhard Berger ","Ferrari","1:29.568"
"568",1995,"Spain"," Damon Hill ","Williams Renault","1:24.531"
"569",1995,"Monaco"," Jean Alesi ","Ferrari","1:24.621"
"570",1995,"Canada"," Michael Schumacher ","Benetton Renault","1:29.174"
"571",1995,"France"," Michael Schumacher ","Benetton Renault","1:20.218"
"572",1995,"Great Britain"," Damon Hill ","Williams Renault","1:29.752"
"573",1995,"Germany"," Michael Schumacher ","Benetton Renault","1:48.824"
"574",1995,"Hungary"," Damon Hill ","Williams Renault","1:20.247"
"575",1995,"Belgium"," David Coulthard ","Williams Renault","1:53.412"
"576",1995,"Italy"," Gerhard Berger ","Ferrari","1:26.419"
"577",1995,"Portugal"," David Coulthard ","Williams Renault","1:23.220"
"578",1995,"Europe"," Michael Schumacher ","Benetton Renault","1:21.180"
"579",1995,"Pacific"," Michael Schumacher ","Benetton Renault","1:16.374"
"580",1995,"Japan"," Michael Schumacher ","Benetton Renault","1:42.976"
"581",1995,"Australia"," Damon Hill ","Williams Renault","1:17.943"
"582",1996,"Australia"," Jacques Villeneuve ","Williams Renault","1:33.421"
"583",1996,"Brazil"," Damon Hill ","Williams Renault","1:21.547"
"584",1996,"Argentina"," Jean Alesi ","Benetton Renault","1:29.413"
"585",1996,"Europe"," Damon Hill ","Williams Renault","1:21.363"
"586",1996,"San Marino"," Damon Hill ","Williams Renault","1:28.931"
"587",1996,"Monaco"," Jean Alesi ","Benetton Renault","1:25.205"
"588",1996,"Spain"," Michael Schumacher ","Ferrari","1:45.517"
"589",1996,"Canada"," Jacques Villeneuve ","Williams Renault","1:21.916"
"590",1996,"France"," Jacques Villeneuve ","Williams Renault","1:18.610"
"591",1996,"Great Britain"," Jacques Villeneuve ","Williams Renault","1:29.288"
"592",1996,"Germany"," Damon Hill ","Williams Renault","1:46.504"
"593",1996,"Hungary"," Damon Hill ","Williams Renault","1:20.093"
"594",1996,"Belgium"," Gerhard Berger ","Benetton Renault","1:53.067"
"595",1996,"Italy"," Michael Schumacher ","Ferrari","1:26.110"
"596",1996,"Portugal"," Jacques Villeneuve ","Williams Renault","1:22.873"
"597",1996,"Japan"," Jacques Villeneuve ","Williams Renault","1:44.043"
"598",1997,"Australia"," Heinz-Harald Frentzen ","Williams Renault","1:30.585"
"599",1997,"Brazil"," Jacques Villeneuve ","Williams Renault","1:18.397"
"600",1997,"Argentina"," Gerhard Berger ","Benetton Renault","1:27.981"
"601",1997,"San Marino"," Heinz-Harald Frentzen ","Williams Renault","1:25.531"
"602",1997,"Monaco"," Michael Schumacher ","Ferrari","1:53.315"
"603",1997,"Spain"," Giancarlo Fisichella ","Jordan Peugeot","1:22.242"
"604",1997,"Canada"," David Coulthard ","McLaren Mercedes","1:19.635"
"605",1997,"France"," Michael Schumacher ","Ferrari","1:17.910"
"606",1997,"Great Britain"," Michael Schumacher ","Ferrari","1:24.475"
"607",1997,"Germany"," Gerhard Berger ","Benetton Renault","1:45.747"
"608",1997,"Hungary"," Heinz-Harald Frentzen ","Williams Renault","1:18.372"
"609",1997,"Belgium"," Jacques Villeneuve ","Williams Renault","1:52.692"
"610",1997,"Italy"," Mika Hakkinen ","McLaren Mercedes","1:24.808"
"611",1997,"Austria"," Jacques Villeneuve ","Williams Renault","1:11.814"
"612",1997,"Luxembourg"," Heinz-Harald Frentzen ","Williams Renault","1:18.805"
"613",1997,"Japan"," Heinz-Harald Frentzen ","Williams Renault","1:38.942"
"614",1997,"Europe"," Heinz-Harald Frentzen ","Williams Renault","1:23.135"
"615",1998,"Australia"," Mika Hakkinen ","McLaren Mercedes","1:31.649"
"616",1998,"Brazil"," Mika Hakkinen ","McLaren Mercedes","1:19.337"
"617",1998,"Argentina"," Alexander Wurz ","Benetton Playlife","1:28.179"
"618",1998,"San Marino"," Michael Schumacher ","Ferrari","1:29.345"
"619",1998,"Spain"," Mika Hakkinen ","McLaren Mercedes","1:24.275"
"620",1998,"Monaco"," Mika Hakkinen ","McLaren Mercedes","1:22.948"
"621",1998,"Canada"," Michael Schumacher ","Ferrari","1:19.379"
"622",1998,"France"," David Coulthard ","McLaren Mercedes","1:17.523"
"623",1998,"Great Britain"," Michael Schumacher ","Ferrari","1:35.704"
"624",1998,"Austria"," David Coulthard ","McLaren Mercedes","1:12.878"
"625",1998,"Germany"," David Coulthard ","McLaren Mercedes","1:46.116"
"626",1998,"Hungary"," Michael Schumacher ","Ferrari","1:19.286"
"627",1998,"Belgium"," Michael Schumacher ","Ferrari","2:03.766"
"628",1998,"Italy"," Mika Hakkinen ","McLaren Mercedes","1:25.139"
"629",1998,"Luxembourg"," Mika Hakkinen ","McLaren Mercedes","1:20.450"
"630",1998,"Japan"," Michael Schumacher ","Ferrari","1:40.190"
"631",1999,"Australia"," Michael Schumacher ","Ferrari","1:32.112"
"632",1999,"Brazil"," Mika Hakkinen ","McLaren Mercedes","1:18.448"
"633",1999,"San Marino"," Michael Schumacher ","Ferrari","1:28.547"
"634",1999,"Monaco"," Mika Hakkinen ","McLaren Mercedes","1:22.259"
"635",1999,"Spain"," Michael Schumacher ","Ferrari","1:24.982"
"636",1999,"Canada"," Eddie Irvine ","Ferrari","1:20.382"
"637",1999,"France"," David Coulthard ","McLaren Mercedes","1:19.227"
"638",1999,"Great Britain"," Mika Hakkinen ","McLaren Mercedes","1:28.309"
"639",1999,"Austria"," Mika Hakkinen ","McLaren Mercedes","1:12.107"
"640",1999,"Germany"," David Coulthard ","McLaren Mercedes","1:45.270"
"641",1999,"Hungary"," David Coulthard ","McLaren Mercedes","1:20.699"
"642",1999,"Belgium"," Mika Hakkinen ","McLaren Mercedes","1:53.955"
"643",1999,"Italy"," Ralf Schumacher ","Williams Supertec","1:25.579"
"644",1999,"Europe"," Mika Hakkinen ","McLaren Mercedes","1:21.282"
"645",1999,"Malaysia"," Heinz-Harald Frentzen ","Jordan Mugen Honda","1:40.631"
"646",1999,"Japan"," Michael Schumacher ","Ferrari","1:41.319"
"647",2000,"Australia"," Rubens Barrichello ","Ferrari","1:31.481"
"648",2000,"Brazil"," Michael Schumacher ","Ferrari","1:14.755"
"649",2000,"San Marino"," Mika Hakkinen ","McLaren Mercedes","1:26.523"
"650",2000,"Great Britain"," Mika Hakkinen ","McLaren Mercedes","1:26.217"
"651",2000,"Spain"," Mika Hakkinen ","McLaren Mercedes","1:24.470"
"652",2000,"Europe"," Michael Schumacher ","Ferrari","1:22.269"
"653",2000,"Monaco"," Mika Hakkinen ","McLaren Mercedes","1:21.571"
"654",2000,"Canada"," Mika Hakkinen ","McLaren Mercedes","1:19.049"
"655",2000,"France"," David Coulthard ","McLaren Mercedes","1:19.479"
"656",2000,"Austria"," David Coulthard ","McLaren Mercedes","1:11.783"
"657",2000,"Germany"," Rubens Barrichello ","Ferrari","1:44.300"
"658",2000,"Hungary"," Mika Hakkinen ","McLaren Mercedes","1:20.028"
"659",2000,"Belgium"," Rubens Barrichello ","Ferrari","1:53.803"
"660",2000,"Italy"," Mika Hakkinen ","McLaren Mercedes","1:25.595"
"661",2000,"United States  "," David Coulthard ","McLaren Mercedes","1:14.711"
"662",2000,"Japan"," Mika Hakkinen ","McLaren Mercedes","1:39.189"
"663",2000,"Malaysia"," Mika Hakkinen ","McLaren Mercedes","1:38.543"
"664",2001,"Australia"," Michael Schumacher ","Ferrari","1:28.214"
"665",2001,"Malaysia"," Mika Hakkinen ","McLaren Mercedes","1:40.962"
"666",2001,"Brazil"," Ralf Schumacher ","Williams BMW","1:15.693"
"667",2001,"San Marino"," Ralf Schumacher ","Williams BMW","1:25.524"
"668",2001,"Spain"," Michael Schumacher ","Ferrari","1:21.151"
"669",2001,"Austria"," David Coulthard ","McLaren Mercedes","1:10.843"
"670",2001,"Monaco"," David Coulthard ","McLaren Mercedes","1:19.424"
"671",2001,"Canada"," Ralf Schumacher ","Williams BMW","1:17.205"
"672",2001,"Europe"," Juan Pablo Montoya ","Williams BMW","1:18.354"
"673",2001,"France"," David Coulthard ","McLaren Mercedes","1:16.088"
"674",2001,"Great Britain"," Mika Hakkinen ","McLaren Mercedes","1:23.405"
"675",2001,"Germany"," Juan Pablo Montoya ","Williams BMW","1:41.808"
"676",2001,"Hungary"," Mika Hakkinen ","McLaren Mercedes","1:16.723"
"677",2001,"Belgium"," Michael Schumacher ","Ferrari","1:49.758"
"678",2001,"Italy"," Ralf Schumacher ","Williams BMW","1:25.073"
"679",2001,"United States "," Juan Pablo Montoya ","Williams BMW","1:14.448"
"680",2001,"Japan"," Ralf Schumacher ","Williams BMW","1:36.944"
"681",2002,"Australia"," Kimi Räikkönen ","McLaren Mercedes","1:28.541"
"682",2002,"Malaysia"," Juan Pablo Montoya ","Williams BMW","1:38.049"
"683",2002,"Brazil"," Juan Pablo Montoya ","Williams BMW","1:16.079"
"684",2002,"San Marino"," Rubens Barrichello ","Ferrari","1:24.170"
"685",2002,"Spain"," Michael Schumacher ","Ferrari","1:20.355"
"686",2002,"Austria"," Michael Schumacher ","Ferrari","1:09.298"
"687",2002,"Monaco"," Rubens Barrichello ","Ferrari","1:18.023"
"688",2002,"Canada"," Juan Pablo Montoya ","Williams BMW","1:15.960"
"689",2002,"Europe"," Michael Schumacher ","Ferrari","1:32.226"
"690",2002,"Great Britain"," Rubens Barrichello ","Ferrari","1:23.083"
"691",2002,"France"," David Coulthard ","McLaren Mercedes","1:15.045"
"692",2002,"Germany"," Michael Schumacher ","Ferrari","1:16.462"
"693",2002,"Hungary"," Michael Schumacher ","Ferrari","1:16.207"
"694",2002,"Belgium"," Michael Schumacher ","Ferrari","1:47.176"
