"","Year","GrandPrix","Driver","Car","Time"
"695",2002,"Italy"," Rubens Barrichello ","Ferrari","1:23.657"
"696",2002,"United States "," Rubens Barrichello ","Ferrari","1:12.738"
"697",2002,"Japan"," Michael Schumacher ","Ferrari","1:36.125"
"698",2003,"Australia"," Kimi Räikkönen ","McLaren Mercedes","1:27.724"
"699",2003,"Malaysia"," Michael Schumacher ","Ferrari","1:36.412"
"700",2003,"Brazil"," Rubens Barrichello ","Ferrari","1:22.032"
"701",2003,"San Marino"," Michael Schumacher ","Ferrari","1:22.491"
"702",2003,"Spain"," Rubens Barrichello ","Ferrari","1:20.143"
"703",2003,"Austria"," Michael Schumacher ","Ferrari","1:08.337"
"704",2003,"Monaco"," Kimi Räikkönen ","McLaren Mercedes","1:14.545"
"705",2003,"Canada"," Fernando Alonso ","Renault","1:16.040"
"706",2003,"Europe"," Kimi Räikkönen ","McLaren Mercedes","1:32.621"
"707",2003,"France"," Juan Pablo Montoya ","Williams BMW","1:15.512"
"708",2003,"Great Britain"," Rubens Barrichello ","Ferrari","1:22.236"
"709",2003,"Germany"," Juan Pablo Montoya ","Williams BMW","1:14.917"
"710",2003,"Hungary"," Juan Pablo Montoya ","Williams BMW","1:22.095"
"711",2003,"Italy"," Michael Schumacher ","Ferrari","1:21.832"
"712",2003,"United States "," Michael Schumacher ","Ferrari","1:11.473"
"713",2003,"Japan"," Ralf Schumacher ","Williams BMW","1:33.408"
"714",2004,"Australia"," Michael Schumacher ","Ferrari","1:24.125"
"715",2004,"Malaysia"," Juan Pablo Montoya ","Williams BMW","1:34.223"
"716",2004,"Bahrain"," Michael Schumacher ","Ferrari","1:30.252"
"717",2004,"San Marino"," Michael Schumacher ","Ferrari","1:20.411"
"718",2004,"Spain"," Michael Schumacher ","Ferrari","1:17.450"
"719",2004,"Monaco"," Michael Schumacher ","Ferrari","1:14.439"
"720",2004,"Europe"," Michael Schumacher ","Ferrari","1:29.468"
"721",2004,"Canada"," Rubens Barrichello ","Ferrari","1:13.622"
"722",2004,"United States "," Rubens Barrichello ","Ferrari","1:10.399"
"723",2004,"France"," Michael Schumacher ","Ferrari","1:15.377"
"724",2004,"Great Britain"," Michael Schumacher ","Ferrari","1:18.739"
"725",2004,"Germany"," Kimi Räikkönen ","McLaren Mercedes","1:13.780"
"726",2004,"Hungary"," Michael Schumacher ","Ferrari","1:19.071"
"727",2004,"Belgium"," Kimi Räikkönen ","McLaren Mercedes","1:45.108"
"728",2004,"Italy"," Rubens Barrichello ","Ferrari","1:21.046"
"729",2004,"China"," Michael Schumacher ","Ferrari","1:32.238"
"730",2004,"Japan"," Rubens Barrichello ","Ferrari","1:32.730"
"731",2004,"Brazil"," Juan Pablo Montoya ","Williams BMW","1:11.473"
"732",2005,"Australia"," Fernando Alonso ","Renault","1:25.683"
"733",2005,"Malaysia"," Kimi Räikkönen ","McLaren Mercedes","1:35.483"
"734",2005,"Bahrain"," Pedro de la Rosa ","McLaren Mercedes","1:31.447"
"735",2005,"San Marino"," Michael Schumacher ","Ferrari","1:21.858"
"736",2005,"Spain"," Giancarlo Fisichella ","Renault","1:15.641"
"737",2005,"Monaco"," Michael Schumacher ","Ferrari","1:15.842"
"738",2005,"Europe"," Fernando Alonso ","Renault","1:30.711"
"739",2005,"Canada"," Kimi Räikkönen ","McLaren Mercedes","1:14.384"
"740",2005,"United States "," Michael Schumacher ","Ferrari","1:11.497"
"741",2005,"France"," Kimi Räikkönen ","McLaren Mercedes","1:16.423"
"742",2005,"Great Britain"," Kimi Räikkönen ","McLaren Mercedes","1:20.502"
"743",2005,"Germany"," Kimi Räikkönen ","McLaren Mercedes","1:14.873"
"744",2005,"Hungary"," Kimi Räikkönen ","McLaren Mercedes","1:21.219"
"745",2005,"Turkey"," Juan Pablo Montoya ","McLaren Mercedes","1:24.770"
"746",2005,"Italy"," Kimi Räikkönen ","McLaren Mercedes","1:21.504"
"747",2005,"Belgium"," Ralf Schumacher ","Toyota","1:51.453"
"748",2005,"Brazil"," Kimi Räikkönen ","McLaren Mercedes","1:12.268"
"749",2005,"Japan"," Kimi Räikkönen ","McLaren Mercedes","1:31.540"
"750",2005,"China"," Kimi Räikkönen ","McLaren Mercedes","1:33.242"
"751",2006,"Bahrain"," Nico Rosberg ","Williams Cosworth","1:32.408"
"752",2006,"Malaysia"," Fernando Alonso ","Renault","1:34.803"
"753",2006,"Australia"," Kimi Räikkönen ","McLaren Mercedes","1:26.045"
"754",2006,"San Marino"," Fernando Alonso ","Renault","1:24.569"
"755",2006,"Europe"," Michael Schumacher ","Ferrari","1:32.099"
"756",2006,"Spain"," Felipe Massa ","Ferrari","1:16.648"
"757",2006,"Monaco"," Michael Schumacher ","Ferrari","1:15.143"
"758",2006,"Great Britain"," Fernando Alonso ","Renault","1:21.599"
"759",2006,"Canada"," Kimi Räikkönen ","McLaren Mercedes","1:15.841"
"760",2006,"United States "," Michael Schumacher ","Ferrari","1:12.719"
"761",2006,"France"," Michael Schumacher ","Ferrari","1:17.111"
"762",2006,"Germany"," Michael Schumacher ","Ferrari","1:16.357"
"763",2006,"Hungary"," Felipe Massa ","Ferrari","1:23.516"
"764",2006,"Turkey"," Michael Schumacher ","Ferrari","1:28.005"
"765",2006,"Italy"," Kimi Räikkönen ","McLaren Mercedes","1:22.559"
"766",2006,"China"," Fernando Alonso ","Renault","1:37.586"
"767",2006,"Japan"," Fernando Alonso ","Renault","1:32.676"
"768",2006,"Brazil"," Michael Schumacher ","Ferrari","1:12.162"
"769",2007,"Australia"," Kimi Räikkönen ","Ferrari","1:25.235"
"770",2007,"Malaysia"," Lewis Hamilton ","McLaren Mercedes","1:36.701"
"771",2007,"Bahrain"," Felipe Massa ","Ferrari","1:34.067"
"772",2007,"Spain"," Felipe Massa ","Ferrari","1:22.680"
"773",2007,"Monaco"," Fernando Alonso ","McLaren Mercedes","1:15.284"
"774",2007,"Canada"," Fernando Alonso ","McLaren Mercedes","1:16.367"
"775",2007,"United States "," Kimi Räikkönen ","Ferrari","1:13.117"
"776",2007,"France"," Felipe Massa ","Ferrari","1:16.099"
"777",2007,"Great Britain"," Kimi Räikkönen ","Ferrari","1:20.638"
"778",2007,"Europe"," Felipe Massa ","Ferrari","1:32.853"
"779",2007,"Hungary"," Kimi Räikkönen ","Ferrari","1:20.047"
"780",2007,"Turkey"," Kimi Räikkönen ","Ferrari","1:27.295"
"781",2007,"Italy"," Fernando Alonso ","McLaren Mercedes","1:22.871"
"782",2007,"Belgium"," Felipe Massa ","Ferrari","1:48.036"
"783",2007,"Japan"," Lewis Hamilton ","McLaren Mercedes","1:28.193"
"784",2007,"China"," Felipe Massa ","Ferrari","1:37.454"
"785",2007,"Brazil"," Kimi Räikkönen ","Ferrari","1:12.445"
"786",2008,"Australia"," Heikki Kovalainen ","McLaren Mercedes","1:27.418"
"787",2008,"Malaysia"," Nick Heidfeld ","Sauber BMW","1:35.366"
"788",2008,"Bahrain"," Heikki Kovalainen ","McLaren Mercedes","1:33.193"
"789",2008,"Spain"," Kimi Räikkönen ","Ferrari","1:21.670"
"790",2008,"Turkey"," Kimi Räikkönen ","Ferrari","1:26.506"
"791",2008,"Monaco"," Kimi Räikkönen ","Ferrari","1:16.689"
"792",2008,"Canada"," Kimi Räikkönen ","Ferrari","1:17.387"
"793",2008,"France"," Kimi Räikkönen ","Ferrari","1:16.630"
"794",2008,"Great Britain"," Kimi Räikkönen ","Ferrari","1:32.150"
"795",2008,"Germany"," Nick Heidfeld ","Sauber BMW","1:15.987"
"796",2008,"Hungary"," Kimi Räikkönen ","Ferrari","1:21.195"
"797",2008,"Europe"," Felipe Massa ","Ferrari","1:38.708"
"798",2008,"Belgium"," Kimi Räikkönen ","Ferrari","1:47.930"
"799",2008,"Italy"," Kimi Räikkönen ","Ferrari","1:28.047"
"800",2008,"Singapore"," Kimi Räikkönen ","Ferrari","1:45.599"
"801",2008,"Japan"," Felipe Massa ","Ferrari","1:18.426"
"802",2008,"China"," Lewis Hamilton ","McLaren Mercedes","1:36.325"
"803",2008,"Brazil"," Felipe Massa ","Ferrari","1:13.736"
"804",2009,"Australia"," Nico Rosberg ","Williams Toyota","1:27.706"
"805",2009,"Malaysia"," Jenson Button ","Brawn Mercedes","1:36.641"
"806",2009,"China"," Rubens Barrichello ","Brawn Mercedes","1:52.592"
"807",2009,"Bahrain"," Jarno Trulli ","Toyota","1:34.556"
"808",2009,"Spain"," Rubens Barrichello ","Brawn Mercedes","1:22.762"
"809",2009,"Monaco"," Felipe Massa ","Ferrari","1:15.154"
"810",2009,"Turkey"," Jenson Button ","Brawn Mercedes","1:27.579"
"811",2009,"Great Britain"," Sebastian Vettel ","RBR Renault","1:20.735"
"812",2009,"Germany"," Fernando Alonso ","Renault","1:33.365"
"813",2009,"Hungary"," Mark Webber ","RBR Renault","1:21.931"
"814",2009,"Europe"," Timo Glock ","Toyota","1:38.683"
"815",2009,"Belgium"," Sebastian Vettel ","RBR Renault","1:47.263"
"816",2009,"Italy"," Adrian Sutil ","Force India Mercedes","1:24.739"
"817",2009,"Singapore"," Fernando Alonso ","Renault","1:48.240"
"818",2009,"Japan"," Mark Webber ","RBR Renault","1:32.569"
"819",2009,"Brazil"," Mark Webber ","RBR Renault","1:13.733"
"820",2009,"Abu Dhabi"," Sebastian Vettel ","RBR Renault","1:40.279"
"821",2010,"Bahrain"," Fernando Alonso ","Ferrari","1:58.287"
"822",2010,"Australia"," Mark Webber ","RBR Renault","1:28.358"
"823",2010,"Malaysia"," Mark Webber ","RBR Renault","1:37.054"
"824",2010,"China"," Lewis Hamilton ","McLaren Mercedes","1:42.061"
"825",2010,"Spain"," Lewis Hamilton ","McLaren Mercedes","1:24.357"
"826",2010,"Monaco"," Sebastian Vettel ","RBR Renault","1:15.192"
"827",2010,"Turkey"," Vitaly Petrov ","Renault","1:29.165"
"828",2010,"Canada"," Robert Kubica ","Renault","1:16.972"
"829",2010,"Europe"," Jenson Button ","McLaren Mercedes","1:38.766"
"830",2010,"Great Britain"," Fernando Alonso ","Ferrari","1:30.874"
"831",2010,"Germany"," Sebastian Vettel ","RBR Renault","1:15.824"
"832",2010,"Hungary"," Sebastian Vettel ","RBR Renault","1:22.362"
"833",2010,"Belgium"," Lewis Hamilton ","McLaren Mercedes","1:49.069"
"834",2010,"Italy"," Fernando Alonso ","Ferrari","1:24.139"
"835",2010,"Singapore"," Fernando Alonso ","Ferrari","1:47.976"
"836",2010,"Japan"," Mark Webber ","RBR Renault","1:33.474"
"837",2010,"South Korea"," Fernando Alonso ","Ferrari","1:50.257"
"838",2010,"Brazil"," Lewis Hamilton ","McLaren Mercedes","1:13.851"
"839",2010,"Abu Dhabi"," Lewis Hamilton ","McLaren Mercedes","1:41.274"
"840",2011,"Australia"," Felipe Massa ","Ferrari","1:28.947"
"841",2011,"Malaysia"," Mark Webber ","Red Bull Racing Renault","1:40.571"
"842",2011,"China"," Mark Webber ","Red Bull Racing Renault","1:38.993"
"843",2011,"Turkey"," Mark Webber ","Red Bull Racing Renault","1:29.703"
"844",2011,"Spain"," Lewis Hamilton ","McLaren Mercedes","1:26.727"
"845",2011,"Monaco"," Mark Webber ","Red Bull Racing Renault","1:16.234"
"846",2011,"Canada"," Jenson Button ","McLaren Mercedes","1:16.956"
"847",2011,"Europe"," Sebastian Vettel ","Red Bull Racing Renault","1:41.852"
"848",2011,"Great Britain"," Fernando Alonso ","Ferrari","1:34.908"
"849",2011,"Germany"," Lewis Hamilton ","McLaren Mercedes","1:34.302"
"850",2011,"Hungary"," Felipe Massa ","Ferrari","1:23.415"
"851",2011,"Belgium"," Mark Webber ","Red Bull Racing Renault","1:49.883"
"852",2011,"Italy"," Lewis Hamilton ","McLaren Mercedes","1:26.187"
"853",2011,"Singapore"," Jenson Button ","McLaren Mercedes","1:48.454"
"854",2011,"Japan"," Jenson Button ","McLaren Mercedes","1:36.568"
"855",2011,"South Korea"," Sebastian Vettel ","Red Bull Racing Renault","1:39.605"
"856",2011,"India"," Sebastian Vettel ","Red Bull Racing Renault","1:27.249"
"857",2011,"Abu Dhabi"," Mark Webber ","Red Bull Racing Renault","1:42.612"
"858",2011,"Brazil"," Mark Webber ","Red Bull Racing Renault","1:15.324"
"859",2012,"Australia"," Jenson Button ","McLaren Mercedes","1:29.187"
"860",2012,"Malaysia"," Kimi Räikkönen ","Lotus Renault","1:40.722"
"861",2012,"China"," Kamui Kobayashi ","Sauber Ferrari","1:39.960"
"862",2012,"Bahrain"," Sebastian Vettel ","Red Bull Racing Renault","1:36.379"
"863",2012,"Spain"," Romain Grosjean ","Lotus Renault","1:26.250"
"864",2012,"Monaco"," Sergio Perez ","Sauber Ferrari","1:17.296"
"865",2012,"Canada"," Sebastian Vettel ","Red Bull Racing Renault","1:15.752"
"866",2012,"Europe"," Nico Rosberg ","Mercedes","1:42.163"
"867",2012,"Great Britain"," Kimi Räikkönen ","Lotus Renault","1:34.661"
"868",2012,"Germany"," Michael Schumacher ","Mercedes","1:18.725"
"869",2012,"Hungary"," Sebastian Vettel ","Red Bull Racing Renault","1:24.136"
"870",2012,"Belgium"," Bruno Senna ","Williams Renault","1:52.822"
"871",2012,"Italy"," Nico Rosberg ","Mercedes","1:27.239"
"872",2012,"Singapore"," Nico Hulkenberg ","Force India Mercedes","1:51.033"
"873",2012,"Japan"," Sebastian Vettel ","Red Bull Racing Renault","1:35.774"
"874",2012,"South Korea"," Mark Webber ","Red Bull Racing Renault","1:42.037"
"875",2012,"India"," Jenson Button ","McLaren Mercedes","1:28.203"
"876",2012,"Abu Dhabi"," Sebastian Vettel ","Red Bull Racing Renault","1:43.964"
"877",2012,"United States  "," Sebastian Vettel ","Red Bull Racing Renault","1:39.347"
"878",2012,"Brazil"," Lewis Hamilton ","McLaren Mercedes","1:18.069"
"879",2013,"Australia"," Kimi Räikkönen ","Lotus Renault","1:29.274"
"880",2013,"Malaysia"," Sergio Perez ","McLaren Mercedes","1:39.199"
"881",2013,"China"," Sebastian Vettel ","Red Bull Racing Renault","1:36.808"
"882",2013,"Bahrain"," Sebastian Vettel ","Red Bull Racing Renault","1:36.961"
"883",2013,"Spain"," Esteban Gutierrez  ","Sauber Ferrari","1:26.217"
"884",2013,"Monaco"," Sebastian Vettel ","Red Bull Racing Renault","1:16.577"
"885",2013,"Canada"," Mark Webber ","Red Bull Racing Renault","1:16.182"
"886",2013,"Great Britain"," Mark Webber ","Red Bull Racing Renault","1:33.401"
"887",2013,"Germany"," Fernando Alonso ","Ferrari","1:33.468"
"888",2013,"Hungary"," Mark Webber ","Red Bull Racing Renault","1:24.069"
"889",2013,"Belgium"," Sebastian Vettel ","Red Bull Racing Renault","1:50.756"
"890",2013,"Italy"," Lewis Hamilton ","Mercedes","1:25.849"
"891",2013,"Singapore"," Sebastian Vettel ","Red Bull Racing Renault","1:48.574"
"892",2013,"South Korea"," Sebastian Vettel ","Red Bull Racing Renault","1:41.380"
"893",2013,"Japan"," Mark Webber ","Red Bull Racing Renault","1:34.587"
"894",2013,"India"," Kimi Räikkönen ","Lotus Renault","1:27.679"
"895",2013,"Abu Dhabi"," Fernando Alonso ","Ferrari","1:43.434"
"896",2013,"United States "," Sebastian Vettel ","Red Bull Racing Renault","1:39.856"
"897",2013,"Brazil"," Mark Webber ","Red Bull Racing Renault","1:15.436"
"898",2014,"Australia"," Nico Rosberg ","Mercedes","1:32.478"
"899",2014,"Malaysia"," Lewis Hamilton ","Mercedes","1:43.066"
"900",2014,"Bahrain"," Nico Rosberg ","Mercedes","1:37.020"
"901",2014,"China"," Nico Rosberg ","Mercedes","1:40.402"
"902",2014,"Spain"," Sebastian Vettel ","Red Bull Racing Renault","1:28.918"
"903",2014,"Monaco"," Kimi Räikkönen ","Ferrari","1:18.479"
"904",2014,"Canada"," Felipe Massa ","Williams Mercedes","1:18.504"
"905",2014,"Austria"," Sergio Perez ","Force India Mercedes","1:12.142"
"906",2014,"Great Britain"," Lewis Hamilton ","Mercedes","1:37.176"
"907",2014,"Germany"," Lewis Hamilton ","Mercedes","1:19.908"
"908",2014,"Hungary"," Nico Rosberg ","Mercedes","1:25.724"
"909",2014,"Belgium"," Nico Rosberg ","Mercedes","1:50.511"
"910",2014,"Italy"," Lewis Hamilton ","Mercedes","1:28.004"
"911",2014,"Singapore"," Lewis Hamilton ","Mercedes","1:50.417"
"912",2014,"Japan"," Lewis Hamilton ","Mercedes","1:51.600"
"913",2014,"Russia"," Valtteri Bottas ","Williams Mercedes","1:40.896"
"914",2014,"United States "," Sebastian Vettel ","Red Bull Racing Renault","1:41.379"
"915",2014,"Brazil"," Lewis Hamilton ","Mercedes","1:13.555"
"916",2014,"Abu Dhabi"," Daniel Ricciardo ","Red Bull Racing Renault","1:44.496"
"917",2015,"Australia"," Lewis Hamilton ","Mercedes","1:30.945"
"918",2015,"Malaysia"," Nico Rosberg ","Mercedes","1:42.062"
"919",2015,"China"," Lewis Hamilton ","Mercedes","1:42.208"
"920",2015,"Bahrain"," Kimi Räikkönen ","Ferrari","1:36.311"
"921",2015,"Spain"," Lewis Hamilton ","Mercedes","1:28.270"
"922",2015,"Monaco"," Daniel Ricciardo ","Red Bull Racing Renault","1:18.063"
"923",2015,"Canada"," Kimi Räikkönen ","Ferrari","1:16.987"
"924",2015,"Austria"," Nico Rosberg ","Mercedes","1:11.235"
"925",2015,"Great Britain"," Lewis Hamilton ","Mercedes","1:37.093"
"926",2015,"Hungary"," Daniel Ricciardo ","Red Bull Racing Renault","1:24.821"
"927",2015,"Belgium"," Nico Rosberg ","Mercedes","1:52.416"
"928",2015,"Italy"," Lewis Hamilton ","Mercedes","1:26.672"
"929",2015,"Singapore"," Daniel Ricciardo ","Red Bull Racing Renault","1:50.041"
"930",2015,"Japan"," Lewis Hamilton ","Mercedes","1:36.145"
"931",2015,"Russia"," Sebastian Vettel ","Ferrari","1:40.071"
"932",2015,"United States "," Nico Rosberg ","Mercedes","1:40.666"
"933",2015,"Mexico"," Nico Rosberg ","Mercedes","1:20.521"
"934",2015,"Brazil"," Lewis Hamilton ","Mercedes","1:14.832"
"935",2015,"Abu Dhabi"," Lewis Hamilton ","Mercedes","1:44.517"
"936",2016,"Australia"," Daniel Ricciardo ","Red Bull Racing TAG Heuer","1:28.997"
"937",2016,"Bahrain"," Nico Rosberg ","Mercedes","1:34.482"
"938",2016,"China"," Nico Hulkenberg ","Force India Mercedes","1:39.824"
"939",2016,"Russia"," Nico Rosberg ","Mercedes","1:39.094"
"940",2016,"Spain"," Daniil Kvyat ","Toro Rosso Ferrari","1:26.948"
"941",2016,"Monaco"," Lewis Hamilton ","Mercedes","1:17.939"
"942",2016,"Canada"," Nico Rosberg ","Mercedes","1:15.599"
"943",2016,"Europe"," Nico Rosberg ","Mercedes","1:46.485"
"944",2016,"Austria"," Lewis Hamilton ","Mercedes","1:08.411"
"945",2016,"Great Britain"," Nico Rosberg ","Mercedes","1:35.548"
"946",2016,"Hungary"," Kimi Räikkönen ","Ferrari","1:23.086"
"947",2016,"Germany"," Daniel Ricciardo ","Red Bull Racing TAG Heuer","1:18.442"
"948",2016,"Belgium"," Lewis Hamilton ","Mercedes","1:51.583"
"949",2016,"Italy"," Fernando Alonso ","McLaren Honda","1:25.340"
"950",2016,"Singapore"," Daniel Ricciardo ","Red Bull Racing TAG Heuer","1:47.187"
"951",2016,"Malaysia"," Nico Rosberg ","Mercedes","1:36.424"
"952",2016,"Japan"," Sebastian Vettel ","Ferrari","1:35.118"
"953",2016,"United States "," Sebastian Vettel ","Ferrari","1:39.877"
"954",2016,"Mexico"," Daniel Ricciardo ","Red Bull Racing TAG Heuer","1:21.134"
"955",2016,"Brazil"," Max Verstappen ","Red Bull Racing TAG Heuer","1:25.305"
"956",2016,"Abu Dhabi"," Sebastian Vettel ","Ferrari","1:43.729"
"957",2017,"Australia"," Kimi Räikkönen ","Ferrari","1:26.538"
"958",2017,"China"," Lewis Hamilton ","Mercedes","1:35.378"
"959",2017,"Bahrain"," Lewis Hamilton ","Mercedes","1:32.798"
"960",2017,"Russia"," Kimi Räikkönen ","Ferrari","1:36.844"
"961",2017,"Spain"," Lewis Hamilton ","Mercedes","1:23.593"
"962",2017,"Monaco"," Sergio Perez ","Force India Mercedes","1:14.820"
"963",2017,"Canada"," Lewis Hamilton ","Mercedes","1:14.551"
"964",2017,"Azerbaijan"," Sebastian Vettel ","Ferrari","1:43.441"
"965",2017,"Austria"," Lewis Hamilton ","Mercedes","1:07.411"
"966",2017,"Great Britain"," Lewis Hamilton ","Mercedes","1:30.621"
"967",2017,"Hungary"," Fernando Alonso ","McLaren Honda","1:20.182"
"968",2017,"Belgium"," Sebastian Vettel ","Ferrari","1:46.577"
"969",2017,"Italy"," Daniel Ricciardo ","Red Bull Racing TAG Heuer","1:23.361"
"970",2017,"Singapore"," Lewis Hamilton ","Mercedes","1:45.008"
"971",2017,"Malaysia"," Sebastian Vettel ","Ferrari","1:34.080"
"972",2017,"Japan"," Valtteri Bottas ","Mercedes","1:33.144"
"973",2017,"United States "," Sebastian Vettel ","Ferrari","1:37.766"
"974",2017,"Mexico"," Sebastian Vettel ","Ferrari","1:18.785"
"975",2017,"Brazil"," Max Verstappen ","Red Bull Racing TAG Heuer","1:11.044"
"976",2017,"Abu Dhabi"," Valtteri Bottas ","Mercedes","1:40.650"
"977",2018,"Australia"," Daniel Ricciardo ","Red Bull Racing TAG Heuer","1:25.945"
"978",2018,"Bahrain"," Valtteri Bottas ","Mercedes","1:33.740"
"979",2018,"China"," Daniel Ricciardo ","Red Bull Racing TAG Heuer","1:35.785"
"980",2018,"Azerbaijan"," Valtteri Bottas ","Mercedes","1:45.149"
"981",2018,"Spain"," Daniel Ricciardo ","Red Bull Racing TAG Heuer","1:18.441"
"982",2018,"Monaco"," Max Verstappen ","Red Bull Racing TAG Heuer","1:14.260"
"983",2018,"Canada"," Max Verstappen ","Red Bull Racing TAG Heuer","1:13.864"
"984",2018,"France"," Valtteri Bottas ","Mercedes","1:34.225"
"985",2018,"Austria"," Kimi Räikkönen ","Ferrari","1:06.957"
"986",2018,"Great Britain"," Sebastian Vettel ","Ferrari","1:30.696"
"987",2018,"Germany"," Lewis Hamilton ","Mercedes","1:15.545"
"988",2018,"Hungary"," Daniel Ricciardo ","Red Bull Racing TAG Heuer","1:20.012"
"989",2018,"Belgium"," Valtteri Bottas ","Mercedes","1:46.286"
"990",2018,"Italy"," Lewis Hamilton ","Mercedes","1:22.497"
"991",2018,"Singapore"," Kevin Magnussen ","Haas Ferrari","1:41.905"
"992",2018,"Russia"," Valtteri Bottas ","Mercedes","1:35.861"
"993",2018,"Japan"," Sebastian Vettel ","Ferrari","1:32.318"
"994",2018,"United States "," Lewis Hamilton ","Mercedes","1:37.392"
"995",2018,"Mexico"," Valtteri Bottas ","Mercedes","1:18.741"
"996",2018,"Brazil"," Valtteri Bottas ","Mercedes","1:10.540"
"997",2018,"Abu Dhabi"," Sebastian Vettel ","Ferrari","1:40.867"
"998",2019,"Australia"," Valtteri Bottas ","Mercedes","1:25.580"
"999",2019,"Bahrain"," Charles Leclerc ","Ferrari","1:33.411"
"1000",2019,"China"," Pierre Gasly ","Red Bull Racing Honda","1:34.742"
"1001",2019,"Azerbaijan"," Charles Leclerc ","Ferrari","1:43.009"
"1002",2019,"Spain"," Lewis Hamilton ","Mercedes","1:18.492"
"1003",2019,"Monaco"," Pierre Gasly ","Red Bull Racing Honda","1:14.279"
"1004",2019,"Canada"," Valtteri Bottas ","Mercedes","1:13.078"
"1005",2019,"France"," Sebastian Vettel ","Ferrari","1:32.740"
"1006",2019,"Austria"," Max Verstappen ","Red Bull Racing Honda","1:07.475"
"1007",2019,"Great Britain"," Lewis Hamilton ","Mercedes","1:27.369"
"1008",2019,"Germany"," Max Verstappen ","Red Bull Racing Honda","1:16.645"
"1009",2019,"Hungary"," Max Verstappen ","Red Bull Racing Honda","1:17.103"
"1010",2019,"Belgium"," Sebastian Vettel ","Ferrari","1:46.409"
"1011",2019,"Italy"," Lewis Hamilton ","Mercedes","1:21.779"
"1012",2019,"Singapore"," Kevin Magnussen ","Haas Ferrari","1:42.301"
"1013",2019,"Russia"," Lewis Hamilton ","Mercedes","1:35.761"
"1014",2019,"Japan"," Lewis Hamilton ","Mercedes","1:30.983"
"1015",2019,"Mexico"," Charles Leclerc ","Ferrari","1:19.232"
"1016",2019,"United States "," Charles Leclerc ","Ferrari","1:36.169"
"1017",2019,"Brazil"," Valtteri Bottas ","Mercedes","1:10.698"
"1018",2019,"Abu Dhabi"," Lewis Hamilton ","Mercedes","1:39.283"
"1019",2020,"Austria"," Lando Norris ","McLaren Renault","1:07.475"
"1020",2020,"Styria"," Carlos Sainz ","McLaren Renault","1:05.619"
"1021",2020,"Hungary"," Lewis Hamilton ","Mercedes","1:16.627"
"1022",2020,"Great Britain"," Max Verstappen ","Red Bull Racing Honda","1:27.097"
"1023",2020,"70th Anniversary"," Lewis Hamilton ","Mercedes","1:28.451"
"1024",2020,"Spain"," Valtteri Bottas ","Mercedes","1:18.183"
"1025",2020,"Belgium"," Daniel Ricciardo ","Renault","1:47.483"
"1026",2020,"Italy"," Lewis Hamilton ","Mercedes","1:22.746"
"1027",2020,"Tuscany"," Lewis Hamilton ","Mercedes","1:18.833"
"1028",2020,"Russia"," Valtteri Bottas ","Mercedes","1:37.030"
"1029",2020,"Eifel"," Max Verstappen ","Red Bull Racing Honda","1:28.139"
"1030",2020,"Portugal"," Lewis Hamilton ","Mercedes","1:18.750"
"1031",2020,"Emilia Romagna"," Lewis Hamilton ","Mercedes","1:15.484"
"1032",2020,"Turkey"," Lando Norris ","McLaren Renault","1:36.806"
"1033",2020,"Bahrain"," Max Verstappen ","Red Bull Racing Honda","1:32.014"
"1034",2020,"Sakhir"," George Russell ","Mercedes","55.404"
"1035",2020,"Abu Dhabi"," Daniel Ricciardo ","Renault","1:40.926"
